"","X.","claim_status","video_id","video_duration_sec","video_transcription_text","verified_status","author_ban_status","video_view_count","video_like_count","video_share_count","video_download_count","video_comment_count","duration_category","engagement_rate","user_name","video_length","n_shares","n_comments","n_plays","hashtags","song"
"1",276,"claim",1913260809,31,"a friend mentioned someone revealed that the car radio was first introduced in 1922","not verified","active","708456",183100,"12592","884","253","Medium",0.258806474925754,"espn",23,3172,587,847400,"[]","original sound"
"2",276,"claim",1913260809,31,"a friend mentioned someone revealed that the car radio was first introduced in 1922","not verified","active","708456",183100,"12592","884","253","Medium",0.258806474925754,"jongmineyo",20,816,2254,877500,"[]","오리지널 사운드 - 종민오빠  Jongmin oppa"
"3",596,"claim",5664855012,27,"the news told me someone discovered that in a deck of cards, the king of hearts is the only king without a mustache","not verified","active","218127",60700,"18985","454","79","Medium",0.278640425073466,"cindy518c",7,300,1253,466800,"['cindy', 'kpop', 'foryou', '影子舞']","原聲 - Cindy👄"
"4",977,"claim",4272335550,19,"i told them an expert discovered that baby spiders are called spiderlings","not verified","active","676970",9137,"3462","76","23","Medium",0.0135308802458011,"smiley_vats01",15,96,80,114500,"['2kadum', 'danceindia']","ladki kadk hai tu"
"5",1551,"claim",8546624132,25,"a friend learned  online that your heart beats 100,000 times a day","not verified","active","47076",9948,"3942","92","28","Medium",0.211912651882063,"wianmagic",54,18,179,100800,"['fyp', 'foryou', 'tiktoksa']","original sound"
"6",1666,"claim",2855324394,6,"a friend learned  on an internet forum a claim that the longest recorded cricket match lasted 14 days","not verified","active","129645",70500,"1006","677","79","Short",0.544402020903236,"littlegloves",18,340,218,956300,"['you2', 'littlegloves', 'staypositive', 'thingstodo', 'madgang', 'funny', 'comedy']","original sound"
"7",1718,"claim",8267577903,53,"a friend learned  in the media that 90% of goods are shipped by ocean freight","not verified","active","706353",246500,"25101","3685","323","Medium",0.349432932259083,"larissamanoela",11,1178,999,2400000,"[]","som original"
"8",1718,"claim",8267577903,53,"a friend learned  in the media that 90% of goods are shipped by ocean freight","not verified","active","706353",246500,"25101","3685","323","Medium",0.349432932259083,"jeleniewska",9,681,4475,1500000,"[]","оригінальний звук"
"9",1767,"claim",8737601542,56,"a friend learned  in the media that the insect population of the world is 1 billion times more than the world population","not verified","active","372992",46800,"2347","674","415","Medium",0.126584484385724,"mohak.narang",12,141,1095,298300,"['mohKfam', 'Sohak']","original sound"
"10",1767,"claim",8737601542,56,"a friend learned  in the media that the insect population of the world is 1 billion times more than the world population","not verified","active","372992",46800,"2347","674","415","Medium",0.126584484385724,"guinnessworldrecords",15,178,286,462900,"['GWR2021', 'jumprope']","original sound"
"11",1844,"claim",1984440062,43,"a friend learned  on social media that there might be a huge planet in this solar system","not verified","active","217636",124800,"6221","13","3","Medium",0.57344832656362,"aashikabhatia",11,3339,693,1400000,"['suggestion2', 'foryou', 'fyp', 'trending']","Asal Mein × Shayad Sush and Yohan"
"12",2233,"claim",9367944331,22,"a friend learned  from the media a claim that the first electric vehicle was created in 1832","not verified","active","914987",424900,"149658","7355","1183","Medium",0.465671096966405,"avneetkaur_13",13,2114,1970,5300000,"['trending', 'foryou', 'terinaar']","original sound - Nikk"
"13",2233,"claim",9367944331,22,"a friend learned  from the media a claim that the first electric vehicle was created in 1832","not verified","active","914987",424900,"149658","7355","1183","Medium",0.465671096966405,"youneszarou",10,779,1506,3100000,"['yzfamily', 'tutorial', 'foryoupage', 'fürdich', 'fyp']","death bed (coffee for your head)"
"14",2325,"claim",3590951715,51,"a friend read  online that the largest living thing on earth is a tree","not verified","active","742654",40100,"7650","226","71","Medium",0.0540911379996607,"junya1gou",14,223,363,660400,"[]","オリジナル楽曲 - Junya/じゅんや"
"15",2325,"claim",3590951715,51,"a friend read  online that the largest living thing on earth is a tree","not verified","active","742654",40100,"7650","226","71","Medium",0.0540911379996607,"wish_rathod",22,18,149,539500,"['picktalent', 'resso', 'tiktok_india', 'foryou', 'fyp', 'wish_rathod']","original sound"
"16",2325,"claim",3590951715,51,"a friend read  online that the largest living thing on earth is a tree","not verified","active","742654",40100,"7650","226","71","Medium",0.0540911379996607,"larissamanoela",45,173,487,378600,"[]","Celebrate the Good Times"
"17",2325,"claim",3590951715,51,"a friend read  online that the largest living thing on earth is a tree","not verified","active","742654",40100,"7650","226","71","Medium",0.0540911379996607,"yashitank",15,107,155,301700,"['teamrj14', 'trending']","Original Sound"
"18",2325,"claim",3590951715,51,"a friend read  online that the largest living thing on earth is a tree","not verified","active","742654",40100,"7650","226","71","Medium",0.0540911379996607,"jlo",31,61,378,457300,"['PaTiChallenge', 'FanFriday', 'PaTi', 'Maluma']","original sound"
"19",2374,"claim",4715407190,35,"a friend read  online a claim that snakes can predict earthquakes","not verified","active","473792",42800,"6585","732","92","Medium",0.0905291773605295,"guinnessworldrecords",50,40,137,418100,"['GWRchallenge', 'GWR2021']","original sound"
"20",2397,"claim",6849096518,26,"a friend read  on an internet forum that the oldest playable musical instruments were found in china","not verified","active","802339",289000,"65005","332","155","Medium",0.360390059563352,"ayushyadav7100",13,381,267,2800000,"['ayushyadav']","jaan meri shan ho yaar tum"
"21",2397,"claim",6849096518,26,"a friend read  on an internet forum that the oldest playable musical instruments were found in china","not verified","active","802339",289000,"65005","332","155","Medium",0.360390059563352,"jacquelinef_143",10,809,1297,4200000,"[]","original sound - Jackie"
"22",2796,"claim",9074764929,25,"a friend read  on a website that there are billions of eggs produced commercially each year","not verified","active","561269",38700,"5699","910","63","Medium",0.0690631408469023,"thegreatkhali8",14,388,275,897100,"[]","HUD HUD DABANGG"
"23",2847,"claim",2234886683,49,"a friend read  in the news that the automotive industry employs about 9.9 million americans","not verified","active","155420",47600,"8433","329","127","Medium",0.307084030369322,"irfan_sy10",32,222,264,324500,"['foryoupage', 'irfi', 'team10']","original sound"
"24",2847,"claim",2234886683,49,"a friend read  in the news that the automotive industry employs about 9.9 million americans","not verified","active","155420",47600,"8433","329","127","Medium",0.307084030369322,"littlegloves",15,152,198,618400,"['littleumi', 'littlegloves', 'you2', 'staypositive', 'comedy']","original sound"
"25",2847,"claim",2234886683,49,"a friend read  in the news that the automotive industry employs about 9.9 million americans","not verified","active","155420",47600,"8433","329","127","Medium",0.307084030369322,"littlegloves",53,252,161,580600,"['littleumi', 'littlegloves', 'you2', 'edutokmotivation', 'edutok', 'staypositive']","original sound"
"26",2847,"claim",2234886683,49,"a friend read  in the news that the automotive industry employs about 9.9 million americans","not verified","active","155420",47600,"8433","329","127","Medium",0.307084030369322,"sohail_d",14,226,176,297900,"['foryou', 'fyp', 'duetwithme', 'dgang']","original sound - N_O_B_I_T_A__07🖤🌍"
"27",2861,"claim",3274125637,30,"a friend read  in the news that the brain is the fattiest organ in the body","not verified","active","142723",31600,"6990","604","276","Medium",0.223341717873083,"jiffpom",8,215,394,190000,"[]","FOLLOW ZachOverweg"
"28",2861,"claim",3274125637,30,"a friend read  in the news that the brain is the fattiest organ in the body","not verified","active","142723",31600,"6990","604","276","Medium",0.223341717873083,"ayushyadav7100",12,38,210,292300,"['foryoupage', 'foryou', 'sayufam', 'comedy', 'tiktokindia', 'trending', 'couplegoals', 'ayushyadav']","original sound"
"29",2861,"claim",3274125637,30,"a friend read  in the news that the brain is the fattiest organ in the body","not verified","active","142723",31600,"6990","604","276","Medium",0.223341717873083,"wish_rathod",15,284,307,456900,"['monsoonvibes', 'punjabisongs', 'TainuPattLena', 'punjabi', 'tiktok_india', 'foryou', 'fyp', 'wish_rathod']","Tainu Patt Lena 1"
"30",2861,"claim",3274125637,30,"a friend read  in the news that the brain is the fattiest organ in the body","not verified","active","142723",31600,"6990","604","276","Medium",0.223341717873083,"jaiswal_mukesh",15,280,103,383700,"['101public', 'mukusquads', 'tiktok', 'fyp', 'foryou', 'trending@101mishuu99@tiktok_india']","original sound"
"31",3077,"claim",2693047952,55,"someone learned  online a claim that saturn is less dense than water","not verified","active","840950",231900,"23810","667","214","Medium",0.276014031749807,"carlosferiag",59,104,2451,1600000,"['ad', 'bangenergy']","sonido original"
"32",3177,"claim",9599068761,29,"someone learned  on an internet forum a claim that through the seasons, a reindeer’s eyes will change color","not verified","active","851472",172700,"57388","1950","663","Medium",0.203603876580792,"hollyh",7,481,1221,813600,"[]","Bulletproof"
"33",3177,"claim",9599068761,29,"someone learned  on an internet forum a claim that through the seasons, a reindeer’s eyes will change color","not verified","active","851472",172700,"57388","1950","663","Medium",0.203603876580792,"sandys.ss",23,564,967,896200,"[]","original sound - ikke.jenner"
"34",3378,"claim",4490697143,45,"someone learned  in a discussion board that cows have ""best friends"" and will get stressed when separated","not verified","active","635234",80200,"31082","1909","465","Medium",0.126984701700476,"tiktok_india",42,1526,2120,1800000,"['safehumsafeinternet']","original sound"
"35",3378,"claim",4490697143,45,"someone learned  in a discussion board that cows have ""best friends"" and will get stressed when separated","not verified","active","635234",80200,"31082","1909","465","Medium",0.126984701700476,"nagmaa",14,316,324,789500,"['Comedy', 'Atrangz']","original sound - ❤prerna ❤"
"36",3378,"claim",4490697143,45,"someone learned  in a discussion board that cows have ""best friends"" and will get stressed when separated","not verified","active","635234",80200,"31082","1909","465","Medium",0.126984701700476,"deepakjoshi.102",15,1429,869,671100,"['seenesetum', 'foryoupage', 'trending', 'foryou']","Sine se tum"
"37",3559,"claim",9374352327,39,"someone learned  from the news that captive ravens can speak better than parrots","not verified","active","186135",68800,"3150","62","23","Medium",0.369747763719881,"theshilpashetty",54,340,893,863900,"['ad', 'MyTalkingTomFriends']","original sound"
"38",3559,"claim",9374352327,39,"someone learned  from the news that captive ravens can speak better than parrots","not verified","active","186135",68800,"3150","62","23","Medium",0.369747763719881,"hollyh",15,243,1028,374200,"[]","The Banjo Beat, Pt. 1"
"39",3559,"claim",9374352327,39,"someone learned  from the news that captive ravens can speak better than parrots","not verified","active","186135",68800,"3150","62","23","Medium",0.369747763719881,"officialsalicerose",55,153,333,629300,"['boxycharm', 'BoxyGlampingVp', 'BoxyCharmPartner']","original sound"
"40",3559,"claim",9374352327,39,"someone learned  from the news that captive ravens can speak better than parrots","not verified","active","186135",68800,"3150","62","23","Medium",0.369747763719881,"seandoesmagic",49,87,419,311700,"['magictrick', 'cardtrick', 'random']","This Wisp Sings by Winter Aid but slowed down"
"41",3559,"claim",9374352327,39,"someone learned  from the news that captive ravens can speak better than parrots","not verified","active","186135",68800,"3150","62","23","Medium",0.369747763719881,"maverickbaker",13,158,796,356900,"[]","Mood"
"42",3559,"claim",9374352327,39,"someone learned  from the news that captive ravens can speak better than parrots","not verified","active","186135",68800,"3150","62","23","Medium",0.369747763719881,"arianalee99",12,246,687,293300,"['bird', 'pet', 'Animation', 'umbrellacockatoo']","Spongebob"
"43",3559,"claim",9374352327,39,"someone learned  from the news that captive ravens can speak better than parrots","not verified","active","186135",68800,"3150","62","23","Medium",0.369747763719881,"bhanu1006",10,230,674,980400,"['zoommyface']","Bagaikan Langit（cover）"
"44",3620,"claim",6418224133,44,"someone learned  from the news a claim that it is physically impossible for humans to keep their eyes open while sneezing","not verified","active","179111",8807,"344","65","19","Medium",0.0492767055066411,"tirullipa",9,26,208,74100,"[]","original sound"
"45",3664,"claim",6179404056,6,"someone learned  from the media that humans physically cannot hum while holding your nose","not verified","active","162317",65300,"18550","1156","655","Short",0.406334518257484,"piyanka_mongia",9,666,622,600500,"['punjab', 'punjabisong', 'punjabimuser', 'punjabi', 'duetwidpiyanka', 'punjabitiktok', 'haryana', 'haryanvisong', 'haryanvi']","original sound -      Alex ✖️✖️✖️"
"46",3664,"claim",6179404056,6,"someone learned  from the media that humans physically cannot hum while holding your nose","not verified","active","162317",65300,"18550","1156","655","Short",0.406334518257484,"sohail_d",10,207,244,435200,"['foryou', 'fyp', 'dgang']","original sound"
"47",3664,"claim",6179404056,6,"someone learned  from the media that humans physically cannot hum while holding your nose","not verified","active","162317",65300,"18550","1156","655","Short",0.406334518257484,"rizxtarr",20,425,597,1200000,"['ForgiveMe', 'rdee', 'evolvestudioz', 'amankhanna', 'BaazDigitals', 'joker', 'fyp', 'foryoupage', 'tiktokindia']","Forgive Me"
"48",3687,"claim",6768781762,60,"someone learned  from the media a claim that the longest recorded cricket match lasted 14 days","not verified","active","525245",323200,"7036","3198","312","Long",0.615925901246085,"itayvargas",15,337,6971,1200000,"[]","sonido original"
"49",3687,"claim",6768781762,60,"someone learned  from the media a claim that the longest recorded cricket match lasted 14 days","not verified","active","525245",323200,"7036","3198","312","Long",0.615925901246085,"luara",14,1779,3942,1500000,"[]","Make You Mine"
"50",3705,"claim",1735956078,41,"someone learned  from the media a claim that the eye of an ostrich is bigger than its brain","not verified","active","77100",50300,"982","753","432","Medium",0.658002594033722,"irfan_sy10",21,294,202,395600,"['foryoupage', 'irfi', 'team10']","original sound"
"51",3705,"claim",1735956078,41,"someone learned  from the media a claim that the eye of an ostrich is bigger than its brain","not verified","active","77100",50300,"982","753","432","Medium",0.658002594033722,"jaiswal_mukesh",12,325,168,942700,"['101public', 'mukusquads', 'tiktok', 'fyp', 'foryou', 'trending@tiktok_india']","original sound"
"52",3705,"claim",1735956078,41,"someone learned  from the media a claim that the eye of an ostrich is bigger than its brain","not verified","active","77100",50300,"982","753","432","Medium",0.658002594033722,"bhanu1006",15,372,377,681400,"['telugu']",""
"53",3721,"claim",8297199764,10,"someone read  online that the highest total mileage clocked by a single car is 2850000 million miles","not verified","active","42133",26800,"1434","486","234","Short",0.641634823060309,"mr_malikofficial",17,97,227,223100,"['maliksquad']","original sound"
"54",3821,"claim",3152922668,54,"someone read  on an internet forum that leeches were historically used to predict the weather","not verified","active","137264",44700,"13079","78","12","Medium",0.32573726541555,"piyanka_mongia",13,528,560,514000,"[]","original sound"
"55",3821,"claim",3152922668,54,"someone read  on an internet forum that leeches were historically used to predict the weather","not verified","active","137264",44700,"13079","78","12","Medium",0.32573726541555,"lance210",8,52,428,186900,"[]","original sound"
"56",3821,"claim",3152922668,54,"someone read  on an internet forum that leeches were historically used to predict the weather","not verified","active","137264",44700,"13079","78","12","Medium",0.32573726541555,"afshanrooh",14,160,129,521100,"['2kadum', 'comedy']","original sound"
"57",3964,"claim",5394918267,36,"someone read  in the media a claim that frigate birds can sleep while flying","not verified","active","902299",505500,"2205","5105","1149","Medium",0.561508989813798,"tommyunold",19,808,1137,2400000,"[]","original sound"
"58",4059,"claim",1978430625,43,"someone read  in a discussion board that american industrialist andrew carnegie had a net worth of $475 million usd, worth over $300 billion usd today","not verified","active","178864",45300,"13573","718","75","Medium",0.253684363538778,"cainguzman",15,45,161,243100,"['wolfs']","original sound"
"59",4161,"claim",8486171056,59,"someone read  on a website that outerspace partly smells like diesel fuel and barbeque","not verified","active","407798",152200,"44092","711","158","Medium",0.373611444882025,"miakhalifa",13,782,1449,4100000,"[]","original sound"
"60",4161,"claim",8486171056,59,"someone read  on a website that outerspace partly smells like diesel fuel and barbeque","not verified","active","407798",152200,"44092","711","158","Medium",0.373611444882025,"falcopunch",10,483,926,911300,"['fyp']","Wrap Me In Plastic (Slowed Down Version)"
"61",4161,"claim",8486171056,59,"someone read  on a website that outerspace partly smells like diesel fuel and barbeque","not verified","active","407798",152200,"44092","711","158","Medium",0.373611444882025,"aydonholley",43,145,1265,599100,"[]","original sound"
"62",4161,"claim",8486171056,59,"someone read  on a website that outerspace partly smells like diesel fuel and barbeque","not verified","active","407798",152200,"44092","711","158","Medium",0.373611444882025,"amandacerny",12,390,755,1300000,"[]","original sound"
"63",4358,"claim",4624643845,54,"someone read  in the media that the dwarf planet pluto was named by an 11-year-old girl","not verified","active","782000",101200,"10864","2370","1307","Medium",0.131083120204604,"aashikabhatia",17,828,671,1100000,"[]","original sound - 🔥Winii"
"64",4358,"claim",4624643845,54,"someone read  in the media that the dwarf planet pluto was named by an 11-year-old girl","not verified","active","782000",101200,"10864","2370","1307","Medium",0.131083120204604,"abrazkhan91",16,486,453,642500,"['1millionaudition', 'gharbaithoindia', 'returnoftiktok', 'ck91', 'ziyu']","original sound"
"65",4358,"claim",4624643845,54,"someone read  in the media that the dwarf planet pluto was named by an 11-year-old girl","not verified","active","782000",101200,"10864","2370","1307","Medium",0.131083120204604,"larissamanoela",9,353,995,857500,"[]","sonido original"
"66",4358,"claim",4624643845,54,"someone read  in the media that the dwarf planet pluto was named by an 11-year-old girl","not verified","active","782000",101200,"10864","2370","1307","Medium",0.131083120204604,"sebastianbails",15,132,3327,634800,"['POV']","The High"
"67",4358,"claim",4624643845,54,"someone read  in the media that the dwarf planet pluto was named by an 11-year-old girl","not verified","active","782000",101200,"10864","2370","1307","Medium",0.131083120204604,"oyeitsprank",22,345,187,1400000,"[]","original sound"
"68",4358,"claim",4624643845,54,"someone read  in the media that the dwarf planet pluto was named by an 11-year-old girl","not verified","active","782000",101200,"10864","2370","1307","Medium",0.131083120204604,"nathandavisjrndj",11,148,471,622900,"['muscle', 'beach', 'singing']","original sound"
"69",4539,"claim",7013534492,48,"i learned  on an internet forum that leeches were historically used to predict the weather","not verified","active","793892",116500,"33356","1148","490","Medium",0.147362613554489,"hollyh",15,629,1172,595100,"[]","original sound"
"70",4539,"claim",7013534492,48,"i learned  on an internet forum that leeches were historically used to predict the weather","not verified","active","793892",116500,"33356","1148","490","Medium",0.147362613554489,"lizzo",15,191,1771,551400,"[]","original sound"
"71",4539,"claim",7013534492,48,"i learned  on an internet forum that leeches were historically used to predict the weather","not verified","active","793892",116500,"33356","1148","490","Medium",0.147362613554489,"sebastianyatra",46,616,1812,1100000,"['parati', 'viral', 'cuarentena', 'covid19', 'fyp', 'colombia', 'latino', 'diadelpadre']","original sound"
"72",4539,"claim",7013534492,48,"i learned  on an internet forum that leeches were historically used to predict the weather","not verified","active","793892",116500,"33356","1148","490","Medium",0.147362613554489,"falcopunch",10,194,661,604500,"[]","Tampa Curhat Beat"
"73",4952,"claim",7645798654,56,"i learned  on a website a claim that no two tongue prints are alike","not verified","active","281590",32100,"12296","679","434","Medium",0.115536773322916,"lianev",14,17,235,277000,"[]","All TikTok Mashup (JVKE - Upside Down)"
"74",4952,"claim",7645798654,56,"i learned  on a website a claim that no two tongue prints are alike","not verified","active","281590",32100,"12296","679","434","Medium",0.115536773322916,"donaldducc",7,134,250,269900,"['duet']","original sound"
"75",4952,"claim",7645798654,56,"i learned  on a website a claim that no two tongue prints are alike","not verified","active","281590",32100,"12296","679","434","Medium",0.115536773322916,"tirullipa",13,180,175,333100,"[]","som original"
